d23,offset_j2,offset_j3,rows,mean_vehicle_count,max_vehicle_count,mean_total_waiting_time,max_total_waiting_time,mean_speed,min_mean_speed,mean_total_queue,max_total_queue,total_departed,total_arrived,final_active,final_buffered,buffered_ratio
100,55,15,3600,136.213,202,1566.917,3656.0,4.69,0.0,66.41,126,3400,3218,182,0,0.0
100,55,20,3600,136.314,201,1587.143,3471.0,4.697,0.0,66.525,125,3400,3217,183,0,0.0
100,55,25,3600,91.338,108,419.103,1083.0,6.839,0.0,28.05,54,3400,3313,87,0,0.0
100,55,30,3600,87.444,101,363.894,914.0,7.158,0.0,25.004,47,3400,3319,81,0,0.0
100,55,35,3600,83.857,99,314.479,791.0,7.456,0.0,22.103,42,3400,3325,75,0,0.0
100,55,40,3600,80.607,100,270.381,709.0,7.723,0.0,19.564,44,3400,3330,70,0,0.0
100,55,45,3600,77.413,99,222.662,650.0,8.014,0.0,17.509,40,3400,3336,64,0,0.0
100,55,50,3600,76.968,99,223.892,590.0,8.039,0.0,17.19,39,3400,3336,64,0,0.0
100,55,55,3600,77.006,98,232.109,677.0,8.025,0.0,17.531,42,3400,3336,64,0,0.0
100,55,60,3600,77.021,96,237.251,691.0,8.033,0.0,17.872,42,3400,3336,64,0,0.0
100,55,65,3600,77.652,96,246.445,629.0,7.988,0.0,18.419,42,3400,3334,66,0,0.0
100,55,70,3600,79.738,101,252.793,671.0,7.765,0.0,18.889,42,3400,3325,75,0,0.0
100,55,75,3600,81.248,103,256.105,658.0,7.603,0.0,19.828,43,3400,3322,78,0,0.0
100,55,80,3600,84.821,107,299.528,815.0,7.275,0.0,22.807,44,3400,3321,79,0,0.0
100,55,85,3600,97.694,128,502.206,1658.0,6.324,0.0,33.464,72,3400,3302,98,0,0.0
100,55,90,3600,135.545,207,1556.194,3706.0,4.687,0.0,65.713,128,3400,3227,173,0,0.0
100,60,0,3600,97.981,129,528.221,1719.0,6.312,0.0,34.08,68,3400,3299,101,0,0.0
100,60,5,3600,135.81,204,1585.359,3670.0,4.684,0.0,66.302,127,3400,3224,176,0,0.0
100,60,10,3600,136.321,202,1585.759,3580.0,4.671,0.0,66.799,126,3400,3220,180,0,0.0
100,60,15,3600,135.575,201,1559.939,3662.0,4.704,0.0,66.089,131,3400,3218,182,0,0.0
100,60,20,3600,136.26,200,1588.171,3529.0,4.694,0.0,66.717,128,3400,3217,183,0,0.0
100,60,25,3600,136.333,199,1610.226,3428.0,4.701,0.0,66.878,128,3400,3218,182,0,0.0
100,60,30,3600,91.353,106,440.5,1085.0,6.849,0.0,28.685,52,3400,3314,86,0,0.0
100,60,35,3600,87.777,100,390.708,960.0,7.128,0.0,25.882,49,3400,3321,79,0,0.0
100,60,40,3600,84.299,99,344.339,902.0,7.391,0.0,23.108,49,3400,3324,76,0,0.0
100,60,45,3600,80.799,98,293.682,805.0,7.672,0.0,20.267,42,3400,3330,70,0,0.0
100,60,50,3600,77.85,99,248.089,557.0,7.932,0.0,18.218,39,3400,3335,65,0,0.0
100,60,55,3600,77.333,98,250.657,597.0,7.974,0.0,18.231,41,3400,3336,64,0,0.0
100,60,60,3600,77.549,96,256.16,783.0,7.958,0.0,18.531,45,3400,3336,64,0,0.0
100,60,65,3600,78.221,96,267.186,766.0,7.906,0.0,19.099,44,3400,3334,66,0,0.0
100,60,70,3600,78.789,95,275.066,764.0,7.875,0.0,19.536,44,3400,3326,74,0,0.0
100,60,75,3600,80.568,100,275.852,759.0,7.675,0.0,19.752,43,3400,3322,78,0,0.0
100,60,80,3600,82.008,102,278.324,751.0,7.526,0.0,20.621,43,3400,3321,79,0,0.0
100,60,85,3600,85.458,106,326.61,923.0,7.217,0.0,23.749,46,3400,3320,80,0,0.0
100,60,90,3600,97.981,129,528.221,1719.0,6.312,0.0,34.08,68,3400,3299,101,0,0.0
100,65,0,3600,86.788,111,367.603,1064.0,7.108,0.0,25.301,51,3400,3317,83,0,0.0
100,65,5,3600,98.774,128,560.708,1726.0,6.271,0.0,35.16,70,3400,3296,104,0,0.0
100,65,10,3600,136.576,201,1622.869,3767.0,4.656,0.0,67.563,127,3400,3219,181,0,0.0
100,65,15,3600,136.456,201,1610.341,3602.0,4.67,0.0,67.524,128,3400,3218,182,0,0.0
100,65,20,3600,136.488,199,1617.032,3694.0,4.676,0.0,67.664,132,3400,3216,184,0,0.0
100,65,25,3600,136.565,197,1621.84,3595.0,4.681,0.0,67.653,129,3400,3218,182,0,0.0
100,65,30,3600,136.629,198,1647.843,3465.0,4.692,0.0,67.884,129,3400,3220,180,0,0.0
100,65,35,3600,92.33,107,492.182,1172.0,6.779,0.0,30.539,56,3400,3315,85,0,0.0
100,65,40,3600,88.412,101,431.039,1060.0,7.06,0.0,27.364,53,3400,3321,79,0,0.0
100,65,45,3600,84.665,101,376.735,1002.0,7.34,0.0,24.262,47,3400,3324,76,0,0.0
100,65,50,3600,81.309,103,328.909,771.0,7.6,0.0,21.518,44,3400,3330,70,0,0.0
