step,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_pressure,J1_main_pressure,J2_side_pressure,J2_main_pressure
198,main_green,main_green,55,276.0,8.779565344762485,12,2,2,5.0,9.0,15.0,15.0
199,main_green,main_green,55,289.0,8.805621509988777,13,2,2,5.0,9.0,15.0,15.0
200,main_green,main_green,55,303.0,8.547161148297228,15,2,2,5.0,9.0,15.0,15.0
201,main_green,main_green,55,317.0,8.363156942046567,15,2,2,5.0,9.0,15.0,15.0
202,main_green,main_green,55,333.0,8.541646659644474,16,2,2,5.0,9.0,15.0,15.0
203,main_green,main_green,54,349.0,8.556439117369372,16,2,2,5.0,9.0,15.0,15.0
204,main_green,main_green,59,365.0,7.881553284067247,21,2,2,5.0,9.0,15.0,15.0
205,yellow_transition,yellow_transition,59,381.0,7.837058161239557,16,3,3,12.0,12.0,16.0,10.0
206,yellow_transition,yellow_transition,60,397.0,7.85269907489698,17,3,3,12.0,12.0,16.0,10.0
207,yellow_transition,yellow_transition,59,413.0,7.775903162187717,16,3,3,12.0,12.0,16.0,10.0
208,main_green,side_green,60,252.0,7.727614964179078,14,2,0,12.0,12.0,16.0,10.0
209,main_green,side_green,60,183.0,7.992330060408233,10,2,0,12.0,12.0,16.0,10.0
210,main_green,side_green,60,181.0,8.385452941484003,9,2,0,12.0,12.0,16.0,10.0
211,main_green,side_green,61,191.0,8.447142888460995,11,2,0,12.0,12.0,16.0,10.0
212,main_green,side_green,60,202.0,8.529233422601965,12,2,0,12.0,12.0,16.0,10.0
213,main_green,side_green,60,214.0,8.821921705388569,12,2,0,12.0,12.0,16.0,10.0
214,main_green,side_green,60,227.0,9.121647457256026,13,2,0,12.0,12.0,16.0,10.0
215,main_green,side_green,58,240.0,9.143665743698135,13,2,0,12.0,12.0,16.0,10.0
216,main_green,side_green,62,253.0,8.413263084516178,18,2,0,12.0,12.0,16.0,10.0
217,main_green,side_green,63,266.0,8.406886310388586,14,2,0,12.0,12.0,16.0,10.0
218,yellow_transition,yellow_transition,62,281.0,8.532218489522188,15,3,1,13.0,5.0,-10.0,16.0
219,yellow_transition,yellow_transition,61,296.0,8.412043598280702,15,3,1,13.0,5.0,-10.0,16.0
220,yellow_transition,yellow_transition,62,311.0,8.073371439958823,16,3,1,13.0,5.0,-10.0,16.0
221,side_green,main_green,61,105.0,8.090218274106343,8,0,2,13.0,5.0,-10.0,16.0
222,side_green,main_green,62,14.0,8.171712736176604,4,0,2,13.0,5.0,-10.0,16.0
223,side_green,main_green,61,2.0,8.50160016799769,1,0,2,13.0,5.0,-10.0,16.0
224,side_green,main_green,62,4.0,8.817231211206124,3,0,2,13.0,5.0,-10.0,16.0
225,side_green,main_green,62,10.0,9.42327891529241,6,0,2,13.0,5.0,-10.0,16.0
226,side_green,main_green,60,16.0,10.014849350548555,6,0,2,13.0,5.0,-10.0,16.0
227,side_green,main_green,58,22.0,10.215037148388987,7,0,2,13.0,5.0,-10.0,16.0
228,side_green,main_green,62,28.0,9.62837162492799,11,0,2,13.0,5.0,-10.0,16.0
229,side_green,main_green,61,34.0,9.843900960055272,6,0,2,13.0,5.0,-10.0,16.0
230,side_green,main_green,58,40.0,9.883938911524176,6,0,2,13.0,5.0,-10.0,16.0
231,yellow_transition,yellow_transition,56,47.0,9.861182546645209,7,1,3,-9.0,17.0,-3.0,1.0
