decision,step,action,vehicle_count,total_waiting_time,mean_speed,current_green,queue_phase_0,queue_phase_3,reward,done
11,358,0,53,153.0,5.680798860098359,0,1,13,-153.0,False
11,359,0,52,169.0,5.729082451588212,0,1,13,-169.0,False
11,360,0,53,173.0,5.8752502019149855,0,1,15,-173.0,False
11,361,0,54,177.0,5.923987073312966,0,2,14,-177.0,False
11,362,0,53,187.0,5.934212283024907,0,0,14,-187.0,False
11,363,0,51,201.0,5.751709292118098,0,0,14,-201.0,False
11,364,0,51,216.0,6.036959472352471,0,0,15,-216.0,False
11,365,0,51,232.0,5.823632610593202,0,1,17,-232.0,False
11,366,0,51,248.0,6.055676180361576,0,0,16,-248.0,False
11,367,0,52,264.0,6.091950106901015,0,1,16,-264.0,False
11,368,0,53,280.0,6.070590675905626,0,0,17,-280.0,False
11,369,0,53,296.0,6.149610763001483,0,0,16,-296.0,False
11,370,0,53,313.0,6.234024777997475,0,0,17,-313.0,False
11,371,0,53,331.0,6.394100196494537,0,0,18,-331.0,False
12,372,1,54,349.0,6.49391452003817,0,1,18,0.0,False
12,373,1,55,367.0,6.566846710273291,0,0,19,0.0,False
12,374,1,55,386.0,6.78381191011283,0,0,19,0.0,False
12,375,1,54,403.0,6.860189071977162,0,0,18,0.0,False
12,376,1,55,421.0,6.794670956834673,0,0,19,0.0,False
12,377,1,53,369.0,6.297144715712472,3,1,16,-369.0,False
12,378,1,54,321.0,6.223397712360826,3,1,15,-321.0,False
12,379,1,55,276.0,6.2319010275787745,3,0,15,-276.0,False
12,380,1,55,236.0,6.353830574428847,3,1,12,-236.0,False
12,381,1,52,198.0,6.102981171146107,3,2,10,-198.0,False
12,382,1,52,166.0,6.077987182167826,3,3,9,-166.0,False
12,383,1,50,138.0,5.901898399378927,3,2,7,-138.0,False
12,384,1,51,147.0,5.844569029986894,3,2,8,-147.0,False
12,385,1,50,122.0,5.784012658779642,3,2,6,-122.0,False
12,386,1,50,99.0,6.045349281993217,3,3,6,-99.0,False
12,387,1,51,75.0,6.1333975451084095,3,4,5,-75.0,False
12,388,1,53,59.0,6.072988417841002,3,4,5,-59.0,False
12,389,1,54,46.0,6.180452026748816,3,3,4,-46.0,False
12,390,1,53,53.0,6.2993261446408315,3,4,3,-53.0,False
12,391,1,52,47.0,6.473890780470906,3,4,2,-47.0,False
12,392,1,51,43.0,6.436724479918776,3,6,1,-43.0,False
12,393,1,50,41.0,6.631880394594667,3,5,0,-41.0,False
12,394,1,52,46.0,6.727315114652638,3,5,2,-46.0,False
12,395,1,51,51.0,6.88264647091265,3,5,0,-51.0,False
12,396,1,50,56.0,6.879268037719701,3,5,0,-56.0,False
12,397,1,50,62.0,6.978656076787449,3,6,0,-62.0,False
12,398,1,49,68.0,6.673707548264951,3,7,0,-68.0,False
12,399,1,50,74.0,6.749133965862159,3,6,1,-74.0,False
12,400,1,50,82.0,6.915804654436996,3,8,0,-82.0,False
12,401,1,50,90.0,7.123596350966931,3,8,0,-90.0,False
12,402,1,50,98.0,7.357505832424343,3,8,0,-98.0,False
12,403,1,52,106.0,7.279468540370851,3,9,1,-106.0,False
12,404,1,53,114.0,7.312941223980185,3,8,1,-114.0,False
12,405,1,54,123.0,7.394915126775277,3,10,0,-123.0,False
12,406,1,54,132.0,7.568012992780701,3,9,0,-132.0,False
13,407,0,54,141.0,7.739021671456288,3,9,0,0.0,False
13,408,0,55,150.0,7.7098770995860715,3,10,0,0.0,False
13,409,0,56,161.0,7.545418878587898,3,10,2,0.0,False
13,410,0,56,172.0,7.463015292024592,3,10,1,0.0,False
13,411,0,56,184.0,7.220684691850229,3,10,3,0.0,False
13,412,0,53,86.0,6.9049143063442715,0,7,4,-86.0,False
13,413,0,54,41.0,6.877680710728431,0,4,5,-41.0,False
13,414,0,54,25.0,7.063127470389013,0,2,5,-25.0,False
13,415,0,52,26.0,7.028917302723338,0,1,6,-26.0,False
13,416,0,51,31.0,7.266061923643595,0,0,7,-31.0,False
13,417,0,53,39.0,7.0908953536820425,0,1,9,-39.0,False
