step,phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase
457,side_green,76,29.0,9.894821340903853,6,0,0
458,side_green,77,36.0,9.800080098487854,8,0,0
459,side_green,76,46.0,9.939508704943194,10,0,0
460,side_green,76,56.0,9.940887860112312,11,0,0
461,side_green,74,66.0,9.925190950784703,10,0,0
462,side_green,74,76.0,9.77138993362046,10,0,0
463,side_green,74,88.0,9.630403358017652,13,0,0
464,side_green,74,100.0,9.3387531997675,13,0,0
465,side_green,73,114.0,9.27062377671123,14,0,0
466,side_green,71,129.0,9.14668798666427,15,0,0
467,side_green,69,145.0,8.968616348211887,16,0,0
468,side_green,68,161.0,7.768054362329966,21,0,0
469,side_green,64,177.0,7.294162701082827,17,0,0
470,side_green,60,195.0,6.948678345929336,18,0,0
471,side_green,52,214.0,6.330963117067098,19,0,0
472,side_green,50,234.0,6.009369089637078,21,0,0
473,side_green,48,256.0,6.014864126373415,22,0,0
474,side_green,48,278.0,5.883838306349162,23,0,0
475,side_green,47,300.0,5.763031195022651,22,0,0
476,side_green,48,323.0,5.4955917417775035,24,0,0
477,side_green,47,346.0,5.431988118829606,23,0,0
478,side_green,46,370.0,5.149152572456171,24,0,0
479,side_green,47,395.0,5.027767791412782,26,0,0
480,side_green,51,420.0,4.369013981543209,30,0,0
481,side_green,51,446.0,4.542112042612447,26,0,0
482,side_green,51,473.0,4.776470107142001,27,0,0
483,side_green,50,501.0,4.777684537561978,28,0,0
484,side_green,52,529.0,4.783787673894961,30,0,0
485,side_green,52,557.0,4.935833380275236,28,0,0
486,side_green,52,585.0,5.153225808401233,28,0,0
487,side_green,52,613.0,5.121378640066032,28,0,0
488,side_green,53,642.0,4.980019775848829,30,0,0
489,side_green,53,671.0,4.650044514175246,30,0,0
490,side_green,52,702.0,4.547346588636229,31,0,0
491,side_green,51,733.0,4.3283937144125435,31,0,0
492,side_yellow,56,764.0,3.829384511125982,36,1,1
493,side_yellow,56,796.0,3.931167558864708,32,1,1
494,side_yellow,56,829.0,3.9513458946911775,34,1,1
495,main_green,56,538.0,4.410557644913163,25,2,2
496,main_green,57,299.0,4.890786598046709,18,2,2
497,main_green,57,134.0,5.45937810384338,11,2,2
498,main_green,57,50.0,6.189444837227688,6,2,2
499,main_green,58,20.0,6.70708070734281,4,2,2
500,main_green,59,7.0,7.503231704280185,5,2,2
501,main_green,56,4.0,8.158259335187873,2,2,2
502,main_green,55,7.0,8.964686532991113,3,2,2
