step,offset_j2,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase
339,20,main_green,main_green,72,54.0,9.813614933661418,5,2,2
340,20,main_green,main_green,73,57.0,9.897282773520882,6,2,2
341,20,main_green,main_green,72,61.0,10.203185778072804,4,2,2
342,20,main_green,main_green,71,65.0,10.438231044258968,4,2,2
343,20,main_green,main_green,70,69.0,10.527540431983258,4,2,2
344,20,main_green,main_green,71,75.0,10.471406436970206,7,2,2
345,20,main_green,main_green,70,81.0,10.491217977970454,7,2,2
346,20,main_green,main_green,68,88.0,10.524727718289482,7,2,2
347,20,main_green,main_green,67,95.0,10.533176900868167,7,2,2
348,20,main_green,main_green,71,102.0,9.913592187440035,12,2,2
349,20,main_green,main_green,70,109.0,9.99259596617706,7,2,2
350,20,main_green,main_green,70,117.0,10.04820761012522,9,2,2
351,20,main_green,main_green,69,125.0,10.149930598043358,8,2,2
352,20,main_green,main_green,68,133.0,10.041263983397846,9,2,2
353,20,main_green,main_green,67,141.0,10.080329700460725,8,2,2
354,20,main_green,main_green,66,149.0,10.062792799063908,8,2,2
355,20,main_green,main_green,66,159.0,9.754957164542096,11,2,2
356,20,main_green,main_green,67,170.0,9.708705653658038,12,2,2
357,20,main_yellow,main_green,67,182.0,9.777051803235935,12,3,2
358,20,main_yellow,main_green,67,194.0,9.90384696704246,12,3,2
359,20,main_yellow,main_green,66,206.0,9.817884672141906,12,3,2
360,20,side_green,main_green,71,81.0,9.162240014556588,13,0,2
361,20,side_green,main_green,72,42.0,9.235517654599413,5,0,2
362,20,side_green,main_green,72,46.0,9.509911440761762,4,0,2
363,20,side_green,main_green,71,51.0,9.409627888529515,5,0,2
364,20,side_green,main_green,72,58.0,9.373782213945027,8,0,2
365,20,side_green,main_green,70,65.0,9.359873230935172,7,0,2
366,20,side_green,main_green,71,73.0,9.273409133781037,9,0,2
367,20,side_green,main_green,70,83.0,9.225690694797407,10,0,2
368,20,side_green,main_green,71,95.0,8.85956019943117,13,0,2
369,20,side_green,main_green,70,107.0,8.643707884287236,12,0,2
370,20,side_green,main_green,69,123.0,8.224490007923787,16,0,2
371,20,side_green,main_green,70,141.0,8.079279494297618,19,0,2
372,20,side_green,main_green,74,160.0,7.476000530115363,24,0,2
373,20,side_green,main_green,73,181.0,7.603027444321203,21,0,2
374,20,side_green,main_green,72,203.0,7.708705917896939,22,0,2
375,20,side_green,main_green,71,226.0,7.679481674827218,23,0,2
376,20,side_green,main_green,72,249.0,7.470802133022065,25,0,2
377,20,side_green,main_yellow,71,272.0,7.477477592997039,23,0,3
378,20,side_green,main_yellow,70,296.0,7.515857759121232,24,0,3
379,20,side_green,main_yellow,66,320.0,7.062910591517766,24,0,3
380,20,side_green,side_green,65,228.0,6.689333180423835,23,0,0
381,20,side_green,side_green,64,222.0,6.476610029472638,21,0,0
382,20,side_green,side_green,60,244.0,6.188622059137799,22,0,0
383,20,side_green,side_green,58,266.0,6.331589363827882,22,0,0
384,20,side_green,side_green,61,289.0,5.709148317048835,28,0,0
385,20,side_green,side_green,60,313.0,5.8519754691002674,24,0,0
386,20,side_green,side_green,61,337.0,5.89213097281125,25,0,0
387,20,side_green,side_green,60,362.0,5.979811018723099,25,0,0
388,20,side_green,side_green,61,388.0,6.0539912196827785,27,0,0
389,20,side_green,side_green,61,416.0,6.086997616761401,28,0,0
390,20,side_green,side_green,61,444.0,6.174384400448774,28,0,0
391,20,side_green,side_green,62,472.0,6.200159028914197,29,0,0
392,20,side_green,side_green,63,501.0,6.057874805021048,30,0,0
