step,vehicle_count,total_waiting_time,mean_speed,phase,queue_phase_0,queue_phase_3,green_elapsed,state
318,58,218.0,5.185949139163197,4,13,1,0,rrryyyrrryyy
319,59,231.0,5.051174703106498,4,14,0,0,rrryyyrrryyy
320,59,247.0,4.854113863530599,5,15,2,0,rrrrrrrrrrrr
321,59,265.0,4.842120097601635,5,15,3,0,rrrrrrrrrrrr
322,59,208.0,4.889016676555956,0,12,5,0,GGgrrrGGgrrr
323,60,154.0,4.8574924860051825,0,9,6,1,GGgrrrGGgrrr
324,60,121.0,5.016571266136496,0,6,6,2,GGgrrrGGgrrr
325,62,94.0,5.120980014163002,0,6,9,3,GGgrrrGGgrrr
326,62,71.0,5.326186159331758,0,3,9,4,GGgrrrGGgrrr
327,62,58.0,5.474564423350332,0,2,9,5,GGgrrrGGgrrr
328,61,61.0,5.493262836913949,0,1,10,6,GGgrrrGGgrrr
329,61,70.0,5.6370148320672495,0,0,12,7,GGgrrrGGgrrr
330,61,83.0,5.614078787739277,0,1,12,8,GGgrrrGGgrrr
331,61,95.0,5.581596714874934,0,0,14,9,GGgrrrGGgrrr
332,60,109.0,5.4331299576610945,0,1,14,10,GGgrrrGGgrrr
333,60,123.0,5.233765476754248,0,0,16,11,GGgrrrGGgrrr
334,59,139.0,5.1643838185471935,0,0,15,12,GGgrrrGGgrrr
335,60,158.0,5.145624539953124,0,3,16,13,GGgrrrGGgrrr
336,60,175.0,4.986030902126654,0,2,16,14,GGgrrrGGgrrr
337,60,190.0,5.048878674859826,0,1,17,15,GGgrrrGGgrrr
338,59,206.0,4.8796164030587965,0,0,18,16,GGgrrrGGgrrr
339,60,226.0,4.887832754165655,0,0,19,17,GGgrrrGGgrrr
340,60,248.0,4.501044456429264,0,1,21,18,GGgrrrGGgrrr
341,59,272.0,4.468790515115981,0,2,20,19,GGgrrrGGgrrr
342,58,296.0,4.429000612810228,1,2,20,0,yyyrrryyyrrr
343,58,321.0,4.565624915547339,1,3,20,0,yyyrrryyyrrr
344,58,346.0,4.647609668886535,1,3,20,0,yyyrrryyyrrr
345,58,375.0,4.5634369614174926,2,7,21,0,rrrrrrrrrrrr
